NUMSUGESTAO;CODFORNEC;CODFILIAL;CODUSUARIOSUGESTAO;DATASUGESTAO;CODEDITAL;CODPROD;QTSUGERIDA;QTPEDIDO;OBS;PCOMPRALIQSUGERIDO;NUMEROITEMLICIT
1;649;1;15431;16/09/2015;1;4881;72;72;IMPORTADO AUTOMATICO;10,61;1
1;649;1;15431;16/09/2015;1;4883;192;192;IMPORTADO AUTOMATICO;10,61;2
1;649;1;15431;16/09/2015;1;4886;60;60;IMPORTADO AUTOMATICO;10,61;3
1;649;1;15431;16/09/2015;1;4890;156;156;IMPORTADO AUTOMATICO;10,61;4
1;649;1;15431;16/09/2015;1;4893;204;204;IMPORTADO AUTOMATICO;10,61;5
1;649;1;15431;16/09/2015;1;4894;72;72;IMPORTADO AUTOMATICO;10,61;6
1;649;1;15431;16/09/2015;1;4895;180;180;IMPORTADO AUTOMATICO;10,61;7
1;649;1;15431;16/09/2015;1;4896;108;108;IMPORTADO AUTOMATICO;10,61;8
1;649;1;15431;16/09/2015;1;4897;240;240;IMPORTADO AUTOMATICO;10,61;9
1;649;1;15431;16/09/2015;1;4899;84;84;IMPORTADO AUTOMATICO;10,61;10
1;649;1;15431;16/09/2015;1;4902;132;132;IMPORTADO AUTOMATICO;10,61;11
1;649;1;15431;16/09/2015;1;4914;168;168;IMPORTADO AUTOMATICO;10,03;12
1;649;1;15431;16/09/2015;1;4917;120;120;IMPORTADO AUTOMATICO;10,03;13
1;649;1;15431;16/09/2015;1;4927;180;180;IMPORTADO AUTOMATICO;10,03;14
1;649;1;15431;16/09/2015;1;7779;120;120;IMPORTADO AUTOMATICO;3,93;15
1;649;1;15431;16/09/2015;1;10717;72;72;IMPORTADO AUTOMATICO;5,95;16
1;649;1;15431;16/09/2015;1;10718;72;72;IMPORTADO AUTOMATICO;5,95;17
1;649;1;15431;16/09/2015;1;10449;24;24;IMPORTADO AUTOMATICO;6,28;18
1;649;1;15431;16/09/2015;1;5194;48;48;IMPORTADO AUTOMATICO;10,04;19
1;649;1;15431;16/09/2015;1;5537;36;36;IMPORTADO AUTOMATICO;10,88;20
1;649;1;15431;16/09/2015;1;6100;444;444;IMPORTADO AUTOMATICO;4,42;21
1;649;1;15431;16/09/2015;1;9670;2448;2448;IMPORTADO AUTOMATICO;6,97;22
1;649;1;15431;16/09/2015;1;7613;360;360;IMPORTADO AUTOMATICO;12,97;23
1;649;1;15431;16/09/2015;1;1026;720;720;IMPORTADO AUTOMATICO;4,12;24
1;649;1;15431;16/09/2015;1;9676;5760;5760;IMPORTADO AUTOMATICO;4,8;25
1;649;1;15431;16/09/2015;1;5359;180;180;IMPORTADO AUTOMATICO;49,4;26
1;649;1;15431;16/09/2015;1;5587;2088;2088;IMPORTADO AUTOMATICO;6,37;27
1;649;1;15431;16/09/2015;1;5874;3600;3600;IMPORTADO AUTOMATICO;5,91;28
1;649;1;15431;16/09/2015;1;5586;2880;2880;IMPORTADO AUTOMATICO;5,91;29
1;649;1;15431;16/09/2015;1;7197;720;720;IMPORTADO AUTOMATICO;5,91;30
1;649;1;15431;16/09/2015;1;7198;180;180;IMPORTADO AUTOMATICO;11,22;31
1;649;1;15431;16/09/2015;1;7562;216;216;IMPORTADO AUTOMATICO;11,22;32
1;649;1;15431;16/09/2015;1;5896;1080;1080;IMPORTADO AUTOMATICO;11,22;33
1;649;1;15431;16/09/2015;1;5585;120;120;IMPORTADO AUTOMATICO;19,28;34
1;649;1;15431;16/09/2015;1;7049;4248;4248;IMPORTADO AUTOMATICO;5,61;35
1;649;1;15431;16/09/2015;1;1025;6192;6192;IMPORTADO AUTOMATICO;2,24;36
1;649;1;15431;16/09/2015;1;88;180;180;IMPORTADO AUTOMATICO;7,34;37
1;649;1;15431;16/09/2015;1;5716;120;120;IMPORTADO AUTOMATICO;7,48;38
1;649;1;15431;16/09/2015;1;6004;120;120;IMPORTADO AUTOMATICO;11,01;39
1;649;1;15431;16/09/2015;1;5519;84;84;IMPORTADO AUTOMATICO;11,01;40
1;649;1;15431;16/09/2015;1;5543;30;30;IMPORTADO AUTOMATICO;22,05;41
1;649;1;15431;16/09/2015;1;6086;150;150;IMPORTADO AUTOMATICO;8,62;42
1;649;1;15431;16/09/2015;1;7585;60;60;IMPORTADO AUTOMATICO;6,69;43
1;649;1;15431;16/09/2015;1;9140;180;180;IMPORTADO AUTOMATICO;11,75;44
1;649;1;15431;16/09/2015;1;5704;648;648;IMPORTADO AUTOMATICO;15,38;45
1;649;1;15431;16/09/2015;1;5501;720;720;IMPORTADO AUTOMATICO;13,37;46
1;649;1;15431;16/09/2015;1;6088;288;288;IMPORTADO AUTOMATICO;19,38;47
1;649;1;15431;16/09/2015;1;10570;60;60;IMPORTADO AUTOMATICO;6,88;48
1;649;1;15431;16/09/2015;1;10704;240;240;IMPORTADO AUTOMATICO;7,93;49
1;649;1;15431;16/09/2015;1;10696;150;150;IMPORTADO AUTOMATICO;7,93;50
1;649;1;15431;16/09/2015;1;10737;720;720;IMPORTADO AUTOMATICO;7,93;51
1;649;1;15431;16/09/2015;1;6051;600;600;IMPORTADO AUTOMATICO;6,88;52
1;649;1;15431;16/09/2015;1;10582;300;300;IMPORTADO AUTOMATICO;6,57;53
1;649;1;15431;16/09/2015;1;10580;390;390;IMPORTADO AUTOMATICO;6,57;54
1;649;1;15431;16/09/2015;1;10658;120;120;IMPORTADO AUTOMATICO;11,06;55
1;649;1;15431;16/09/2015;1;10642;360;360;IMPORTADO AUTOMATICO;10,5;56
1;649;1;15431;16/09/2015;1;7512;240;240;IMPORTADO AUTOMATICO;10,19;57
1;649;1;15431;16/09/2015;1;7659;48;48;IMPORTADO AUTOMATICO;11,82;58
1;649;1;15431;16/09/2015;1;7662;60;60;IMPORTADO AUTOMATICO;16,37;59
1;649;1;15431;16/09/2015;1;10681;90;90;IMPORTADO AUTOMATICO;5,61;60
1;649;1;15431;16/09/2015;1;10682;60;60;IMPORTADO AUTOMATICO;5,61;61
1;649;1;15431;16/09/2015;1;10688;1560;1560;IMPORTADO AUTOMATICO;5,61;62
1;649;1;15431;16/09/2015;1;10616;120;120;IMPORTADO AUTOMATICO;9,42;63
1;649;1;15431;16/09/2015;1;9202;520;520;IMPORTADO AUTOMATICO;16,79;64
1;649;1;15431;16/09/2015;1;6267;24;24;IMPORTADO AUTOMATICO;6,37;65
1;649;1;15431;16/09/2015;1;7764;324;324;IMPORTADO AUTOMATICO;6,37;66
1;649;1;15431;16/09/2015;1;7694;60;60;IMPORTADO AUTOMATICO;6,37;67
1;649;1;15431;16/09/2015;1;6012;60;60;IMPORTADO AUTOMATICO;7,64;68
1;649;1;15431;16/09/2015;1;6016;156;156;IMPORTADO AUTOMATICO;7,64;69
1;649;1;15431;16/09/2015;1;10625;300;300;IMPORTADO AUTOMATICO;5,01;70
1;649;1;15431;16/09/2015;1;10591;420;420;IMPORTADO AUTOMATICO;5,01;71
1;649;1;15431;16/09/2015;1;10739;270;270;IMPORTADO AUTOMATICO;5,01;72
1;649;1;15431;16/09/2015;1;10684;432;432;IMPORTADO AUTOMATICO;5,01;73
1;649;1;15431;16/09/2015;1;10554;90;90;IMPORTADO AUTOMATICO;5,01;74
1;649;1;15431;16/09/2015;1;10551;450;450;IMPORTADO AUTOMATICO;5,01;75
1;649;1;15431;16/09/2015;1;10685;60;60;IMPORTADO AUTOMATICO;8,42;76
1;649;1;15431;16/09/2015;1;10585;60;60;IMPORTADO AUTOMATICO;8,42;77
1;649;1;15431;16/09/2015;1;10586;30;30;IMPORTADO AUTOMATICO;8,42;78
1;649;1;15431;16/09/2015;1;5530;600;600;IMPORTADO AUTOMATICO;8,22;79
1;649;1;15431;16/09/2015;1;5529;600;600;IMPORTADO AUTOMATICO;8,22;80
1;649;1;15431;16/09/2015;1;7992;324;324;IMPORTADO AUTOMATICO;2,23;81
1;649;1;15431;16/09/2015;1;10413;5220;5220;IMPORTADO AUTOMATICO;1,55;82
1;649;1;15431;16/09/2015;1;10558;180;180;IMPORTADO AUTOMATICO;9,99;83
1;649;1;15431;16/09/2015;1;7201;3696;3696;IMPORTADO AUTOMATICO;2,97;84
1;649;1;15431;16/09/2015;1;7698;744;744;IMPORTADO AUTOMATICO;4,74;85
1;649;1;15431;16/09/2015;1;5785;15264;15264;IMPORTADO AUTOMATICO;1,38;86
1;649;1;15431;16/09/2015;1;7203;1008;1008;IMPORTADO AUTOMATICO;2,5;87
1;649;1;15431;16/09/2015;1;5781;3120;3120;IMPORTADO AUTOMATICO;2,79;88
1;649;1;15431;16/09/2015;1;4706;648;648;IMPORTADO AUTOMATICO;3,05;89
