DATA; USUARIO; BANCO; ARQUIVO; NUMSUGESTAO; CODFORNEC; CODFILIAL; CODUSUARIOSUGESTAO; QTITENS; VALORTOTAL
2016-06-03 10:51:00;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:51:52;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:52:13;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:53:42;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:53:48;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:57:13;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:57:25;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 10:59:07;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:04:16;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:04:45;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:05:02;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:08:41;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:08:49;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:10:31;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:11:34;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:12:41;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:13:40;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:14:04;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:14:35;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:14:51;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:16:20;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:19:01;;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:19:29;;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:19:57;;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
2016-06-03 11:20:16;Administrador;WINT;ARQUIVO MODELO.csv;378;649;1;15431;89;363720.26
